Region,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Amhara,Dessie,2015-08-01,30.03,61.75,8.49,20.88,31.69,4.02,1.27,11.47,19.83,0.77,7.17,1.5,89.0,Moderate,7.5,84.5,1.24,0.88,2.09,143.0
Amhara,Dessie,2015-09-01,24.6,79.69,24.99,33.05,49.94,8.93,1.47,11.52,23.71,1.65,1.15,1.09,77.0,Moderate,13.3,79.0,1.273,0.92,1.97,143.6
Amhara,Dessie,2015-10-01,59.84,55.51,19.91,46.77,67.87,12.02,3.18,7.31,40.15,2.73,3.15,0.68,153.0,Unhealthy,5.2,59.8,1.27,3.78,2.05,143.6
Amhara,Dessie,2015-11-01,68.39,122.2,,27.24,68.14,11.23,2.48,,36.77,1.38,11.21,1.54,158.0,Unhealthy,8.4,56.7,1.198,1.59,1.99,143.9
Amhara,Dessie,2015-12-01,57.58,107.6,29.03,62.27,32.09,16.3,1.89,17.11,41.84,1.64,12.9,2.08,152.0,Unhealthy,2.5,47.0,1.198,3.87,2.05,143.3
Amhara,Dessie,2016-01-01,68.28,183.19,54.4,43.07,47.31,4.53,1.41,9.38,75.89,3.59,8.43,5.1,158.0,Unhealthy,8.3,51.7,1.199,2.96,2.11,147.2
Amhara,Dessie,2016-02-01,45.23,163.09,50.92,71.4,28.11,4.35,3.07,19.84,78.54,1.08,11.86,3.17,125.0,Unhealthy for Sensitive Groups,9.0,42.4,1.239,2.08,2.07,146.5
Amhara,Dessie,2016-03-01,57.43,96.89,27.19,57.72,76.92,18.81,1.89,8.21,74.87,2.13,15.25,3.31,152.0,Unhealthy,5.4,35.7,1.131,-0.06,2.14,147.4
Amhara,Dessie,2016-04-01,60.4,132.47,42.38,37.98,,11.02,1.95,15.67,70.26,1.79,7.51,3.25,154.0,Unhealthy,12.2,57.0,1.26,2.9,2.09,147.2
Amhara,Dessie,2016-05-01,77.07,127.04,47.59,22.48,47.59,5.52,2.64,18.9,73.54,3.38,4.57,4.13,162.0,Unhealthy,10.4,51.2,1.262,2.13,2.07,146.6
Amhara,Dessie,2016-06-01,29.09,54.13,23.31,,52.61,11.5,1.9,10.55,55.72,2.35,8.98,2.96,87.0,Moderate,4.3,77.7,1.208,1.15,2.05,147.2
Amhara,Dessie,2016-07-01,29.51,42.61,15.03,33.36,11.11,5.4,1.3,7.91,34.51,0.57,5.67,1.94,88.0,Moderate,14.8,78.9,1.205,1.07,2.11,147.3
Amhara,Dessie,2016-08-01,20.82,72.96,14.78,30.11,48.12,5.56,1.72,6.07,26.46,0.46,1.64,1.04,69.0,Moderate,14.4,77.2,1.149,1.98,2.08,146.9
Amhara,Dessie,2016-09-01,37.18,47.21,9.43,17.15,39.3,7.51,,7.59,20.0,0.29,7.86,1.58,105.0,Unhealthy for Sensitive Groups,10.6,77.7,1.269,0.83,2.15,146.8
Amhara,Dessie,2016-10-01,28.15,91.63,27.48,53.4,44.86,13.09,2.21,16.17,41.05,2.63,11.21,2.06,85.0,Moderate,8.3,54.8,1.212,4.52,2.12,147.0
Amhara,Dessie,2016-11-01,54.13,101.0,34.86,57.36,45.75,4.83,1.63,14.99,33.43,2.1,7.73,4.3,147.0,Unhealthy for Sensitive Groups,6.3,57.1,1.206,1.6,2.05,146.9
Amhara,Dessie,2016-12-01,65.98,78.56,36.08,68.65,66.8,18.16,1.14,24.77,72.71,2.74,9.58,4.37,156.0,Unhealthy,9.3,51.2,1.244,2.02,2.17,147.0
Amhara,Dessie,2017-01-01,47.28,97.65,62.71,58.01,75.8,10.24,1.93,10.44,59.27,2.19,5.75,1.07,130.0,Unhealthy for Sensitive Groups,5.9,51.9,1.251,1.77,2.14,150.7
Amhara,Dessie,2017-02-01,51.56,74.12,50.22,78.33,61.18,4.67,2.73,11.53,44.25,3.32,16.16,1.51,141.0,Unhealthy for Sensitive Groups,11.5,31.3,1.186,1.34,2.11,150.9
Amhara,Dessie,2017-03-01,,71.72,57.1,29.23,,10.29,3.37,17.37,78.99,3.52,12.5,4.7,,,3.3,40.4,1.192,1.66,2.05,150.2
Amhara,Dessie,2017-04-01,45.27,147.31,,64.97,84.57,19.8,1.17,17.3,81.56,2.33,2.38,1.48,125.0,Unhealthy for Sensitive Groups,8.0,43.9,1.131,2.12,2.15,150.8
Amhara,Dessie,2017-05-01,25.56,129.58,20.68,40.35,44.37,14.76,3.33,23.31,62.14,1.71,15.42,1.61,79.0,Moderate,5.7,55.0,1.196,3.41,2.04,150.7
Amhara,Dessie,2017-06-01,47.57,58.23,12.3,42.1,33.04,7.14,2.32,,22.53,1.74,4.17,1.73,131.0,Unhealthy for Sensitive Groups,9.4,68.0,1.143,2.01,2.12,150.7
Amhara,Dessie,2017-07-01,16.61,55.59,11.61,,34.29,3.21,1.84,6.06,30.18,1.26,7.87,0.7,60.0,Moderate,5.9,96.0,1.348,3.39,2.14,150.6
Amhara,Dessie,2017-08-01,25.06,22.65,22.77,22.5,,3.69,1.57,3.62,10.0,1.62,4.08,0.43,78.0,Moderate,8.1,86.3,1.253,2.01,2.17,150.2
Amhara,Dessie,2017-09-01,33.73,38.8,11.79,19.07,20.76,2.61,1.34,14.54,22.05,0.5,,1.66,96.0,Moderate,9.7,73.6,1.217,2.06,2.11,150.0
Amhara,Dessie,2017-10-01,34.83,125.81,,27.18,63.6,7.69,2.16,19.16,70.22,2.59,6.57,1.17,99.0,Moderate,8.7,62.4,1.115,2.36,2.13,150.6
Amhara,Dessie,2017-11-01,64.6,48.82,27.46,35.06,31.24,3.67,2.03,18.78,52.98,1.15,10.6,1.55,156.0,Unhealthy,8.4,54.8,1.183,2.87,2.18,150.9
Amhara,Dessie,2017-12-01,44.77,89.71,,42.84,58.64,7.91,1.83,13.66,42.52,2.51,,3.6,124.0,Unhealthy for Sensitive Groups,3.7,42.8,1.232,1.04,2.18,150.3
Amhara,Dessie,2018-01-01,40.2,116.33,42.39,58.81,39.73,7.19,1.18,17.93,53.33,1.74,8.48,,113.0,Unhealthy for Sensitive Groups,6.6,38.4,1.198,0.02,2.18,153.7
Amhara,Dessie,2018-02-01,71.16,175.8,26.32,67.88,52.58,5.74,2.23,9.89,51.11,3.5,15.22,4.75,159.0,Unhealthy,8.2,43.1,1.075,1.16,2.23,153.9
Amhara,Dessie,2018-03-01,50.85,91.75,42.44,72.54,83.92,12.19,3.81,10.87,50.95,1.99,16.78,4.12,139.0,Unhealthy for Sensitive Groups,15.7,48.5,1.121,1.21,2.15,153.8
Amhara,Dessie,2018-04-01,59.46,165.78,56.88,54.55,68.36,10.35,3.27,20.94,54.58,3.81,2.81,4.39,153.0,Unhealthy,10.5,38.5,1.229,1.07,2.1,154.1
Amhara,Dessie,2018-05-01,,66.91,43.08,33.76,24.73,10.97,2.16,5.79,29.3,1.36,5.15,4.32,,,8.2,58.0,1.331,2.93,2.23,153.7
Amhara,Dessie,2018-06-01,45.16,64.42,22.46,36.28,42.44,,1.26,14.46,44.63,,8.31,1.92,125.0,Unhealthy for Sensitive Groups,12.7,77.7,1.226,0.66,2.12,154.6
Amhara,Dessie,2018-07-01,16.67,40.78,26.55,24.64,,8.96,0.91,3.22,39.77,1.08,,2.29,61.0,Moderate,6.6,88.3,1.22,2.06,2.19,154.4
Amhara,Dessie,2018-08-01,12.66,75.91,24.46,24.01,32.54,9.24,1.35,5.23,42.4,1.93,6.91,2.21,52.0,Moderate,12.7,81.4,1.198,2.38,2.17,154.7
Amhara,Dessie,2018-09-01,17.56,44.91,16.0,30.33,52.89,4.49,1.97,7.01,49.99,0.89,6.35,1.67,62.0,Moderate,7.8,66.2,1.148,2.43,2.11,154.0
Amhara,Dessie,2018-10-01,25.19,65.36,22.95,34.32,56.81,12.98,2.7,16.63,54.34,2.77,6.26,3.91,79.0,Moderate,12.5,55.6,1.244,0.65,2.12,154.0
Amhara,Dessie,2018-11-01,36.5,90.9,17.12,53.13,37.31,15.13,3.09,14.55,36.08,2.4,11.3,3.25,103.0,Unhealthy for Sensitive Groups,7.5,37.6,1.157,1.13,2.15,154.3
Amhara,Dessie,2018-12-01,40.95,99.23,25.46,29.44,105.41,6.48,3.57,17.43,65.03,0.67,6.51,4.75,114.0,Unhealthy for Sensitive Groups,3.8,34.0,1.189,0.31,2.18,154.1
Amhara,Dessie,2019-01-01,77.18,146.87,31.49,62.69,83.8,8.19,3.98,10.65,49.17,2.07,15.88,1.61,162.0,Unhealthy,11.0,49.7,1.229,1.58,2.14,157.4
Amhara,Dessie,2019-02-01,43.32,191.55,55.95,48.84,66.11,12.1,1.23,15.1,62.81,1.06,4.79,3.58,120.0,Unhealthy for Sensitive Groups,11.9,46.6,1.16,2.11,2.19,157.3
Amhara,Dessie,2019-03-01,73.29,131.15,32.08,88.71,81.57,24.7,3.33,18.53,106.26,1.77,18.53,2.41,160.0,Unhealthy,11.4,39.7,1.258,2.12,2.16,156.9
Amhara,Dessie,2019-04-01,69.91,142.9,,58.55,85.4,18.42,2.06,9.35,47.0,1.87,13.45,3.72,158.0,Unhealthy,10.2,42.3,1.272,2.83,2.17,157.8
Amhara,Dessie,2019-05-01,26.67,122.2,47.11,40.57,44.05,,2.89,12.65,60.92,0.63,1.41,1.61,82.0,Moderate,13.6,52.2,1.296,2.56,2.23,157.5
Amhara,Dessie,2019-06-01,38.61,84.41,36.51,28.04,53.19,4.5,0.9,8.4,25.55,0.63,2.52,1.85,109.0,Unhealthy for Sensitive Groups,6.1,62.2,1.183,1.31,2.21,157.8
Amhara,Dessie,2019-07-01,26.03,40.95,27.9,28.65,39.89,7.5,0.84,11.48,31.15,1.86,3.75,1.94,80.0,Moderate,15.2,88.9,1.159,3.83,2.2,157.5
Amhara,Dessie,2019-08-01,38.85,29.77,12.79,19.57,41.7,2.2,1.13,6.09,27.37,,6.98,1.35,109.0,Unhealthy for Sensitive Groups,6.0,82.4,1.182,3.56,2.19,157.3
Amhara,Dessie,2019-09-01,35.22,69.5,16.67,28.22,22.15,3.89,0.7,5.93,42.16,1.04,2.67,2.09,100.0,Moderate,6.0,68.1,1.189,0.57,2.23,157.7
Amhara,Dessie,2019-10-01,31.92,,24.03,29.1,40.7,16.78,1.69,18.56,66.46,2.95,5.89,2.29,93.0,Moderate,7.3,56.0,1.16,2.35,2.17,157.9
Amhara,Dessie,2019-11-01,34.97,140.96,26.91,31.17,25.6,3.86,2.01,14.62,49.34,2.0,10.47,3.89,99.0,Moderate,8.4,51.6,1.207,3.43,2.2,157.3
Amhara,Dessie,2019-12-01,,60.85,,67.66,55.75,16.33,3.72,10.99,39.83,1.61,3.19,4.64,,,2.1,37.3,1.237,1.91,2.23,157.2
Amhara,Dessie,2020-01-01,66.57,93.31,31.08,82.54,91.83,18.96,2.56,24.25,60.56,1.27,10.14,3.19,157.0,Unhealthy,10.0,42.0,1.211,2.14,2.27,160.9
Amhara,Dessie,2020-02-01,,119.19,57.65,61.09,,16.45,,18.74,103.01,,17.48,1.97,,,7.7,35.2,1.153,1.77,2.25,161.3
Amhara,Dessie,2020-03-01,69.82,186.88,57.74,50.26,52.78,6.22,2.92,21.38,78.71,1.81,17.1,3.27,158.0,Unhealthy,15.6,39.5,1.176,3.06,2.23,161.0
Amhara,Dessie,2020-04-01,28.76,107.15,16.18,38.84,32.02,7.12,2.29,15.93,48.93,1.92,10.31,1.46,86.0,Moderate,6.8,46.2,1.156,3.21,2.25,160.8
Amhara,Dessie,2020-05-01,20.49,64.23,11.59,31.45,25.32,4.69,,12.34,34.13,1.54,7.49,2.1,69.0,Moderate,14.2,65.9,1.162,0.6,2.29,160.8
Amhara,Dessie,2020-06-01,47.49,78.07,33.63,20.33,41.84,6.99,,6.15,41.85,1.3,8.55,1.99,131.0,Unhealthy for Sensitive Groups,15.1,68.9,1.206,1.49,2.29,161.5
Amhara,Dessie,2020-07-01,,72.93,10.39,28.98,25.55,4.98,1.43,7.19,25.37,1.1,4.11,0.78,,,12.9,73.0,1.249,1.73,2.2,161.1
Amhara,Dessie,2020-08-01,18.76,61.01,14.79,19.4,22.25,8.75,0.99,9.71,16.27,1.02,6.3,1.54,65.0,Moderate,9.4,86.8,1.281,2.59,2.29,160.9
Amhara,Dessie,2020-09-01,37.55,93.51,28.67,41.57,39.33,6.01,1.71,10.09,45.86,1.38,6.17,0.76,106.0,Unhealthy for Sensitive Groups,8.0,75.9,1.225,1.87,2.2,161.2
Amhara,Dessie,2020-10-01,36.02,53.64,33.91,27.84,66.01,15.39,0.71,14.93,,1.19,2.99,2.7,102.0,Unhealthy for Sensitive Groups,11.6,69.9,1.184,1.2,2.24,161.3
Amhara,Dessie,2020-11-01,,79.67,29.83,,67.36,15.69,3.16,21.3,53.53,1.95,4.42,0.75,,,7.8,58.9,1.146,2.45,2.28,160.5
Amhara,Dessie,2020-12-01,40.52,102.26,42.97,38.99,46.3,7.57,2.38,6.04,,1.57,9.38,2.8,113.0,Unhealthy for Sensitive Groups,3.4,44.6,1.234,2.25,2.21,161.0
Amhara,Dessie,2021-01-01,36.0,68.61,44.2,43.02,,11.89,1.52,15.1,33.86,3.48,5.92,3.69,102.0,Unhealthy for Sensitive Groups,6.4,44.6,1.179,2.75,2.19,164.6
Amhara,Dessie,2021-02-01,78.69,87.55,41.47,75.51,82.4,11.1,4.14,22.55,,1.29,12.24,1.79,163.0,Unhealthy,3.0,47.1,1.222,0.8,2.27,164.8
Amhara,Dessie,2021-03-01,104.49,78.38,31.63,40.15,106.09,20.03,3.22,29.04,96.74,3.63,10.45,1.53,176.0,Unhealthy,13.4,42.6,1.245,2.18,2.25,164.3
Amhara,Dessie,2021-04-01,57.11,88.98,67.38,38.17,103.41,4.69,2.91,7.06,52.33,2.35,12.15,,152.0,Unhealthy,11.8,50.2,1.283,1.97,2.28,164.2
Amhara,Dessie,2021-05-01,33.69,118.42,21.44,41.28,45.65,15.53,1.4,21.75,79.67,1.47,6.16,4.69,96.0,Moderate,5.8,42.3,1.207,1.98,2.3,164.9
Amhara,Dessie,2021-06-01,38.75,42.15,21.74,21.85,34.1,3.4,1.07,15.44,63.91,1.2,10.27,2.62,109.0,Unhealthy for Sensitive Groups,7.6,67.3,1.226,2.39,2.29,164.6
Amhara,Dessie,2021-07-01,38.15,78.72,24.0,14.54,25.0,3.69,1.89,2.85,34.61,1.08,3.6,1.85,108.0,Unhealthy for Sensitive Groups,7.8,87.7,1.225,2.55,2.24,165.1
Amhara,Dessie,2021-08-01,17.27,67.7,16.5,21.05,40.09,6.74,1.0,9.14,36.02,1.18,4.53,0.96,62.0,Moderate,6.9,80.1,1.269,1.73,2.31,164.9
Amhara,Dessie,2021-09-01,35.34,70.92,15.15,27.74,42.1,6.3,1.67,10.17,20.22,1.12,6.23,1.65,100.0,Moderate,10.1,74.6,1.195,1.58,2.3,164.5
Amhara,Dessie,2021-10-01,60.17,76.61,15.25,45.32,43.83,11.1,1.21,16.95,39.0,1.59,7.93,1.07,153.0,Unhealthy,4.0,62.6,1.229,3.01,2.3,164.7
Amhara,Dessie,2021-11-01,47.83,46.67,42.08,39.74,55.18,11.44,2.75,17.72,50.63,1.84,6.41,2.51,131.0,Unhealthy for Sensitive Groups,9.1,47.9,1.151,2.53,2.28,164.4
Amhara,Dessie,2021-12-01,,181.79,59.74,66.82,62.81,16.28,3.93,16.41,83.13,2.11,8.8,2.04,,,6.1,52.3,1.168,1.98,2.26,164.1
Amhara,Dessie,2022-01-01,54.25,63.93,46.01,59.06,70.78,9.81,2.05,23.18,33.73,2.89,13.53,4.72,147.0,Unhealthy for Sensitive Groups,11.0,44.6,1.189,2.83,2.31,168.0
Amhara,Dessie,2022-02-01,63.35,179.31,47.09,49.74,89.04,21.27,2.73,10.55,98.63,1.85,17.58,1.35,155.0,Unhealthy,10.4,38.8,1.156,0.46,2.37,167.9
Amhara,Dessie,2022-03-01,83.06,177.5,54.35,85.05,87.48,6.97,4.02,23.6,74.94,2.94,18.19,3.08,165.0,Unhealthy,8.4,49.5,1.2,1.34,2.31,167.9
Amhara,Dessie,2022-04-01,61.27,166.11,37.2,56.74,,13.64,1.55,12.44,59.33,3.51,8.01,4.21,154.0,Unhealthy,11.7,51.1,1.175,1.89,2.26,167.8
Amhara,Dessie,2022-05-01,48.02,114.46,54.38,55.64,62.27,10.84,2.45,12.61,69.52,2.54,6.94,2.92,132.0,Unhealthy for Sensitive Groups,5.9,46.1,1.284,0.59,2.31,167.6
Amhara,Dessie,2022-06-01,28.26,44.2,19.57,20.2,45.15,5.2,2.29,5.96,23.33,0.88,7.09,2.23,85.0,Moderate,12.7,67.4,1.211,2.01,2.27,168.3
Amhara,Dessie,2022-07-01,13.37,49.48,14.25,29.95,10.44,2.24,1.06,9.77,43.26,0.82,3.59,1.26,54.0,Moderate,16.7,83.7,1.184,3.61,2.32,168.6
Amhara,Dessie,2022-08-01,25.05,54.32,25.65,41.25,24.26,6.09,1.73,13.56,25.19,,,0.59,78.0,Moderate,13.0,86.3,1.208,2.42,2.28,168.4
Amhara,Dessie,2022-09-01,33.41,59.28,16.22,37.84,,3.12,1.82,4.43,46.57,,3.14,0.68,96.0,Moderate,4.7,79.5,1.234,3.12,2.3,167.8
Amhara,Dessie,2022-10-01,53.14,123.1,19.16,34.5,70.35,7.09,2.76,14.84,71.93,0.75,6.52,2.05,144.0,Unhealthy for Sensitive Groups,12.1,54.8,1.25,1.79,2.35,167.8
Amhara,Dessie,2022-11-01,75.86,64.92,39.97,48.78,92.5,16.05,3.01,7.42,75.78,1.36,13.71,1.89,162.0,Unhealthy,10.7,46.5,1.167,2.1,2.32,168.3
Amhara,Dessie,2022-12-01,32.8,127.85,31.93,57.59,,20.1,2.86,20.14,76.62,0.96,5.65,0.82,95.0,Moderate,8.1,45.7,1.147,0.34,2.3,168.1
Amhara,Dessie,2023-01-01,66.13,71.82,49.22,56.6,75.24,9.51,3.45,25.37,69.83,2.1,9.85,,156.0,Unhealthy,8.2,48.8,1.258,3.19,2.39,171.7
Amhara,Dessie,2023-02-01,38.4,131.31,59.5,69.75,73.51,19.26,1.38,25.43,43.19,2.13,7.06,3.88,108.0,Unhealthy for Sensitive Groups,10.9,46.1,1.243,3.85,2.28,171.7
Amhara,Dessie,2023-03-01,43.0,168.79,44.7,49.06,42.42,21.56,3.18,15.94,94.0,4.48,9.85,2.8,119.0,Unhealthy for Sensitive Groups,14.1,35.7,1.282,1.79,2.34,171.7
Amhara,Dessie,2023-04-01,38.12,132.33,24.8,32.17,84.11,9.02,1.58,26.03,65.92,2.45,8.31,3.58,107.0,Unhealthy for Sensitive Groups,14.7,44.0,1.171,1.08,2.34,171.7
Amhara,Dessie,2023-05-01,33.14,53.36,36.17,45.64,86.18,6.39,3.14,18.21,74.28,1.24,3.64,4.59,95.0,Moderate,14.3,57.6,1.215,1.36,2.35,171.9
Amhara,Dessie,2023-06-01,27.55,97.48,16.03,21.63,46.74,12.34,1.35,10.38,63.16,0.85,7.99,1.68,83.0,Moderate,11.7,72.1,1.229,1.64,2.34,171.5
Amhara,Dessie,2023-07-01,30.46,63.25,6.94,14.4,25.92,3.71,0.66,8.81,35.94,1.14,4.29,0.41,90.0,Moderate,16.3,85.9,1.147,2.32,2.43,171.4
Amhara,Dessie,2023-08-01,12.89,48.59,18.34,25.77,36.03,8.77,2.22,3.84,24.92,0.78,7.86,1.43,53.0,Moderate,14.7,91.2,1.228,2.16,2.34,171.4
Amhara,Dessie,2023-09-01,15.69,,22.7,18.27,40.18,4.7,1.66,11.6,25.02,0.5,9.12,2.65,59.0,Moderate,12.2,84.5,1.166,0.65,2.44,171.6
Amhara,Dessie,2023-10-01,35.1,81.93,49.64,32.34,53.38,9.14,2.64,8.18,46.46,1.02,11.8,1.51,99.0,Moderate,8.0,64.4,1.225,1.17,2.37,171.5
Amhara,Dessie,2023-11-01,50.15,75.24,40.04,52.93,67.0,15.61,2.24,15.56,37.86,3.09,7.39,2.3,137.0,Unhealthy for Sensitive Groups,6.5,45.7,1.133,2.48,2.34,171.8
Amhara,Dessie,2023-12-01,56.69,133.95,36.59,36.47,68.19,15.46,,17.12,75.7,3.04,14.56,4.8,152.0,Unhealthy,5.5,51.5,1.269,1.36,2.32,171.9
Amhara,Dessie,2024-01-01,97.75,183.48,46.25,79.9,95.12,15.83,,29.3,96.43,1.65,7.73,2.78,173.0,Unhealthy,4.0,37.7,1.171,1.68,2.42,175.1
Amhara,Dessie,2024-02-01,84.09,192.37,70.36,68.03,64.8,19.9,3.25,17.91,97.76,2.74,20.15,5.21,166.0,Unhealthy,10.0,43.7,1.183,0.79,2.45,174.9
Amhara,Dessie,2024-03-01,42.76,74.3,40.21,71.73,55.49,16.34,2.93,21.29,65.56,4.22,16.78,2.58,119.0,Unhealthy for Sensitive Groups,7.6,37.4,1.195,0.75,2.45,175.1
Amhara,Dessie,2024-04-01,36.01,186.53,62.83,73.65,101.91,12.48,3.69,14.81,50.27,3.83,7.04,5.15,102.0,Unhealthy for Sensitive Groups,8.2,54.0,1.216,1.69,2.41,174.8
Amhara,Dessie,2024-05-01,53.03,70.77,34.71,68.16,32.21,4.99,1.71,21.47,71.18,3.28,6.31,5.0,144.0,Unhealthy for Sensitive Groups,13.5,54.3,1.228,3.43,2.37,174.9
Amhara,Dessie,2024-06-01,41.85,121.31,,42.38,35.01,10.84,1.67,17.29,23.69,2.68,6.66,1.96,117.0,Unhealthy for Sensitive Groups,9.5,72.7,1.193,2.35,2.36,174.3
Amhara,Dessie,2024-07-01,34.21,35.7,16.85,36.35,21.59,4.25,,5.67,41.69,0.56,3.42,2.84,97.0,Moderate,9.9,78.3,1.194,2.39,2.44,175.5
Amhara,Dessie,2024-08-01,19.56,23.17,12.99,13.35,47.26,7.35,1.04,9.99,41.09,1.5,4.2,2.18,67.0,Moderate,9.7,79.2,1.191,0.37,2.35,175.1
Amhara,Dessie,2024-09-01,49.89,77.36,14.28,32.73,51.99,2.7,1.91,7.33,28.22,0.56,3.25,0.94,136.0,Unhealthy for Sensitive Groups,10.3,71.1,1.187,2.1,2.42,175.2
Amhara,Dessie,2024-10-01,62.78,105.64,29.35,32.89,29.8,4.27,1.7,6.77,58.34,1.86,5.02,0.84,155.0,Unhealthy,8.1,61.1,1.194,2.25,2.39,175.0
Amhara,Dessie,2024-11-01,56.43,98.4,49.34,26.99,39.38,12.8,2.6,17.88,49.03,2.77,13.52,3.06,151.0,Unhealthy,6.8,47.2,1.14,1.28,2.39,175.3
Amhara,Dessie,2024-12-01,44.04,174.48,45.76,49.27,61.23,4.3,2.72,8.85,74.77,4.04,9.17,2.27,122.0,Unhealthy for Sensitive Groups,7.7,37.6,1.146,1.2,2.36,174.8
Amhara,Dessie,2025-01-01,72.63,109.31,51.59,45.16,105.12,20.04,3.93,8.18,76.87,1.44,3.95,,160.0,Unhealthy,3.5,36.1,1.165,1.16,2.48,178.6
Amhara,Dessie,2025-02-01,54.24,134.73,44.02,33.26,85.61,10.34,4.76,28.75,89.61,3.9,20.16,1.39,147.0,Unhealthy for Sensitive Groups,13.7,29.3,1.182,1.16,2.47,178.5
Amhara,Dessie,2025-03-01,41.91,179.04,34.38,75.22,81.35,8.47,3.53,12.33,76.72,4.17,9.61,0.94,117.0,Unhealthy for Sensitive Groups,13.8,53.6,1.276,3.0,2.48,178.1
Amhara,Dessie,2025-04-01,,91.45,46.51,39.64,36.05,15.89,1.25,21.59,76.92,3.04,6.96,3.26,,,6.3,52.9,1.293,1.44,2.46,178.4
Amhara,Dessie,2025-05-01,,68.8,47.0,22.81,35.34,4.55,3.25,7.65,,3.21,5.12,1.27,,,12.3,56.8,1.132,2.77,2.48,178.4
Amhara,Dessie,2025-06-01,36.8,66.52,40.08,24.68,51.9,6.31,,10.1,64.92,1.53,1.92,0.58,104.0,Unhealthy for Sensitive Groups,13.8,77.8,1.219,1.8,2.41,178.5
Amhara,Dessie,2025-07-01,16.82,54.63,30.23,32.2,36.88,8.85,,1.79,29.88,1.55,4.47,1.52,61.0,Moderate,16.3,89.8,1.142,0.86,2.43,178.2
Amhara,Dessie,2025-08-01,41.27,58.36,14.62,21.09,20.76,3.32,2.03,11.72,49.78,1.46,7.28,1.4,115.0,Unhealthy for Sensitive Groups,4.7,85.6,1.239,1.82,2.48,178.6
Amhara,Dessie,2025-09-01,47.86,91.63,22.74,38.19,57.78,5.91,1.93,10.16,52.07,0.54,5.46,,131.0,Unhealthy for Sensitive Groups,5.2,68.9,1.15,1.22,2.44,178.2
Amhara,Dessie,2025-10-01,55.8,46.69,26.51,55.0,63.64,4.9,2.96,8.73,73.19,,6.78,4.0,151.0,Unhealthy,9.5,69.5,1.272,3.98,2.44,178.2
Amhara,Dessie,2025-11-01,73.49,155.27,32.38,42.8,56.77,5.42,2.85,10.62,51.13,0.89,11.5,2.26,160.0,Unhealthy,9.0,54.7,1.211,2.76,2.43,178.5
Amhara,Dessie,2025-12-01,75.57,165.05,49.1,35.82,44.18,15.55,1.83,11.76,51.12,3.68,11.34,1.92,161.0,Unhealthy,9.0,47.6,1.199,1.16,2.43,179.1
Amhara,Finote Selam,2014-01-01,30.0,51.99,31.41,,54.4,8.0,1.74,16.1,38.02,0.64,7.14,2.26,89.0,Moderate,11.9,41.6,1.238,-0.06,1.97,139.6
Amhara,Finote Selam,2014-02-01,17.27,100.29,8.98,43.67,25.18,8.06,0.92,9.59,88.96,1.66,4.31,2.05,62.0,Moderate,8.6,44.5,1.189,2.07,2.06,140.2
Amhara,Finote Selam,2014-03-01,25.16,66.09,26.65,29.74,28.5,10.14,2.52,13.9,76.3,1.73,1.91,1.73,78.0,Moderate,8.9,50.2,1.158,2.57,1.99,140.0
Amhara,Finote Selam,2014-04-01,22.4,49.82,27.11,29.8,24.11,7.52,1.37,4.52,83.02,,5.18,1.61,73.0,Moderate,5.3,43.0,1.216,2.07,1.95,140.2
Amhara,Finote Selam,2014-05-01,24.16,,13.19,41.95,36.1,,0.72,5.23,39.9,0.96,6.93,0.64,76.0,Moderate,6.5,50.9,1.191,1.82,1.97,140.4
Amhara,Finote Selam,2014-06-01,25.57,18.11,13.37,11.65,20.13,7.66,0.77,3.41,52.91,1.13,3.87,1.15,79.0,Moderate,16.6,70.1,1.297,1.32,1.99,139.5
Amhara,Finote Selam,2014-07-01,17.11,34.26,2.41,17.09,9.38,,0.37,5.25,15.52,0.66,0.99,0.52,62.0,Moderate,9.8,87.7,1.101,1.93,2.03,139.7
Amhara,Finote Selam,2014-08-01,8.2,33.46,8.85,25.16,26.71,4.15,0.7,1.6,29.88,0.63,2.47,0.4,34.0,Good,13.2,79.9,1.221,2.85,2.03,140.1
Amhara,Finote Selam,2014-09-01,15.65,37.26,17.7,10.23,34.55,5.17,0.8,3.91,35.32,0.31,1.32,1.13,58.0,Moderate,9.2,80.6,1.203,1.07,1.99,140.3
Amhara,Finote Selam,2014-10-01,15.37,25.08,23.03,23.58,16.07,8.49,1.33,5.14,40.8,0.85,3.77,1.99,58.0,Moderate,8.9,54.7,1.179,3.04,2.05,139.7
Amhara,Finote Selam,2014-11-01,18.35,72.94,18.69,14.56,30.59,6.02,1.09,9.86,58.24,0.78,3.35,1.75,64.0,Moderate,5.7,56.9,1.175,3.04,2.0,139.9
Amhara,Finote Selam,2014-12-01,29.25,81.36,25.78,28.43,51.9,16.13,0.9,10.73,59.65,0.98,2.85,1.66,87.0,Moderate,8.7,44.0,1.109,2.47,2.05,139.9
