Province,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Gansu,Jiuquan,2023-05-01,30.83,47.74,16.11,14.83,21.59,6.05,0.71,11.46,23.31,1.57,7.33,1.1,44,Excellent,6.8,40.5,0.331,4.5,81.74,62.6
Gansu,Jiuquan,2023-06-01,45.34,33.02,11.76,21.93,6.87,15.74,0.89,5.5,22.4,1.34,5.43,1.29,63,Good,11.9,65.0,0.457,4.83,81.39,62.4
Gansu,Jiuquan,2023-07-01,41.28,53.52,12.88,11.01,4.26,9.29,0.9,12.81,27.25,1.65,4.84,1.11,58,Good,12.3,56.2,0.453,4.75,81.68,62.4
Gansu,Jiuquan,2023-08-01,32.23,75.62,11.11,17.06,11.34,15.55,0.38,13.04,13.05,2.02,1.69,0.44,46,Excellent,6.8,64.1,0.477,4.96,82.45,62.5
Gansu,Jiuquan,2023-09-01,54.74,101.6,7.88,8.83,7.47,16.99,1.08,6.89,23.6,0.81,4.03,1.1,75,Good,7.5,55.7,0.512,4.61,80.9,62.7
Gansu,Jiuquan,2023-10-01,62.64,91.16,14.89,30.12,32.76,10.66,1.13,19.86,38.08,3.09,6.41,0.58,84,Good,5.7,47.4,0.426,4.15,81.14,62.6
Gansu,Jiuquan,2023-11-01,90.45,103.51,26.68,51.89,47.14,12.08,2.02,20.62,48.89,1.93,6.23,1.03,119,Lightly Polluted,6.0,29.2,0.537,4.31,83.03,62.9
Gansu,Jiuquan,2023-12-01,57.08,151.4,22.67,58.17,38.9,35.18,1.78,12.46,60.45,5.74,11.83,1.0,77,Good,3.3,19.2,0.503,4.24,81.03,63.1
Gansu,Jiuquan,2024-01-01,104.44,230.06,27.3,25.63,31.79,27.15,0.95,22.65,34.36,2.27,8.55,1.47,137,Lightly Polluted,9.5,21.1,0.448,4.65,82.56,63.1
Gansu,Jiuquan,2024-02-01,89.81,83.74,21.43,50.4,57.75,22.41,2.22,20.05,18.17,4.16,10.22,2.02,118,Lightly Polluted,7.9,21.8,0.198,4.51,83.32,63.1
Gansu,Jiuquan,2024-03-01,32.51,107.39,12.22,29.51,20.64,16.95,0.93,17.23,31.92,1.05,10.06,2.28,46,Excellent,9.2,39.7,0.406,4.38,81.49,62.8
Gansu,Jiuquan,2024-04-01,53.11,99.08,16.93,25.3,17.48,7.69,1.06,21.53,30.63,3.05,7.43,1.82,72,Good,8.9,46.3,0.344,4.84,81.89,62.8
Gansu,Jiuquan,2024-05-01,47.95,82.11,2.09,34.15,35.92,20.86,1.13,11.95,15.7,0.86,4.41,1.62,66,Good,9.4,55.9,0.361,5.08,82.45,63.0
Gansu,Jiuquan,2024-06-01,27.04,99.53,10.11,6.52,26.31,9.77,1.03,14.95,34.96,1.01,4.92,1.33,39,Excellent,7.8,48.8,0.401,4.62,81.32,63.2
Gansu,Jiuquan,2024-07-01,28.77,79.74,5.34,9.02,26.02,11.19,0.69,3.38,21.49,1.84,3.63,0.14,41,Excellent,5.2,52.2,0.48,5.48,82.35,62.9
Gansu,Jiuquan,2024-08-01,25.0,72.87,1.09,14.75,6.2,9.18,1.18,7.54,27.6,1.67,5.95,1.31,36,Excellent,7.6,68.5,0.407,4.99,82.48,63.1
Gansu,Jiuquan,2024-09-01,59.16,46.0,19.46,23.62,12.29,10.61,1.35,5.19,20.96,0.69,4.43,1.04,80,Good,10.7,45.1,0.475,5.67,82.67,63.0
Gansu,Jiuquan,2024-10-01,29.9,56.2,7.0,18.0,23.03,15.87,1.34,23.82,15.08,3.24,2.4,0.52,43,Excellent,7.5,41.4,0.416,5.42,83.47,63.2
Gansu,Jiuquan,2024-11-01,46.78,110.5,7.71,31.44,20.69,28.64,2.05,25.59,37.11,3.61,12.49,0.77,65,Good,7.0,32.5,0.407,4.81,84.47,62.8
Gansu,Jiuquan,2024-12-01,62.77,106.92,24.65,27.81,16.64,17.04,2.81,25.29,57.69,3.13,5.13,1.28,85,Good,3.0,45.2,0.482,4.54,83.01,63.1
Gansu,Jiuquan,2025-01-01,86.8,137.56,16.43,45.17,60.19,17.42,1.23,28.17,51.5,2.36,2.39,3.55,115,Lightly Polluted,6.0,20.4,0.407,5.78,83.0,63.1
Gansu,Jiuquan,2025-02-01,69.27,179.69,6.8,40.24,45.67,22.74,2.06,31.61,49.1,2.37,9.45,0.74,93,Good,7.0,36.4,0.447,5.24,83.5,63.4
Gansu,Jiuquan,2025-03-01,62.47,64.79,23.13,21.67,40.09,20.15,0.77,26.4,22.06,3.26,8.63,1.05,84,Good,12.4,44.0,0.555,4.43,85.0,63.5
Gansu,Jiuquan,2025-04-01,72.11,85.64,1.76,13.34,20.47,16.33,1.45,6.91,7.72,2.06,4.86,1.6,96,Good,6.7,47.0,0.44,5.17,85.7,63.2
Gansu,Jiuquan,2025-05-01,40.48,126.6,20.56,14.03,7.39,13.38,1.07,13.51,33.77,1.99,3.51,1.0,57,Good,7.9,51.4,0.436,4.69,81.67,63.2
Gansu,Jiuquan,2025-06-01,58.39,88.67,1.48,12.95,22.7,10.57,0.92,10.07,31.25,2.2,3.39,1.29,79,Good,9.5,48.0,0.308,3.99,85.05,63.3
Gansu,Jiuquan,2025-07-01,19.4,33.08,9.07,21.39,6.78,10.65,0.81,8.08,9.27,1.1,1.39,1.37,28,Excellent,12.4,50.3,0.334,3.94,84.62,63.4
Gansu,Jiuquan,2025-08-01,18.0,42.54,10.87,11.3,24.52,9.99,1.2,8.57,7.24,1.4,4.91,1.48,26,Excellent,8.9,52.8,0.415,4.95,83.93,63.4
Gansu,Jiuquan,2025-09-01,27.29,90.6,11.22,16.71,21.25,15.13,0.84,8.96,25.33,1.82,1.97,1.36,39,Excellent,11.3,42.2,0.406,4.15,84.26,63.4
Gansu,Jiuquan,2025-10-01,49.93,103.8,23.19,31.31,12.29,17.82,0.83,9.67,15.16,1.47,4.81,1.63,69,Good,7.3,49.1,0.366,4.32,83.69,63.4
Gansu,Jiuquan,2025-11-01,92.32,78.27,16.55,38.23,34.21,27.22,1.68,25.09,28.79,4.76,8.94,3.27,122,Lightly Polluted,6.1,33.6,0.423,3.63,85.19,63.3
Gansu,Jiuquan,2025-12-01,64.35,236.73,9.46,44.14,58.15,25.87,1.43,14.1,41.77,3.16,7.62,2.68,87,Good,7.5,24.4,0.351,4.03,85.36,63.6
Gansu,Lanzhou,2014-01-01,112.6,120.85,41.24,45.34,70.31,49.45,1.34,27.03,87.1,5.51,15.41,3.75,147,Lightly Polluted,9.7,38.6,0.459,3.77,69.44,60.0
Gansu,Lanzhou,2014-02-01,75.82,229.37,23.56,52.72,55.42,18.0,3.71,29.11,85.13,3.82,10.3,4.68,101,Lightly Polluted,9.8,33.6,0.548,5.35,71.0,59.7
Gansu,Lanzhou,2014-03-01,53.16,117.53,23.85,26.57,27.49,13.99,2.72,31.9,42.18,3.58,6.71,1.7,73,Good,16.0,22.0,0.757,3.37,69.48,60.2
Gansu,Lanzhou,2014-04-01,92.63,87.23,13.37,50.83,31.63,9.21,1.03,8.86,19.78,5.12,4.36,1.62,122,Lightly Polluted,11.1,50.7,0.712,4.22,71.46,60.0
Gansu,Lanzhou,2014-05-01,96.01,132.03,4.98,37.13,45.89,13.31,2.01,30.26,30.6,2.29,11.27,2.54,126,Lightly Polluted,8.5,51.2,0.637,3.58,68.14,60.0
Gansu,Lanzhou,2014-06-01,51.52,170.41,5.78,16.5,14.8,18.22,1.82,10.91,36.07,2.43,8.23,2.2,70,Good,7.2,38.9,0.631,5.06,68.49,60.1
Gansu,Lanzhou,2014-07-01,54.89,108.49,15.43,24.89,34.31,7.48,1.02,13.87,32.51,2.16,6.42,1.42,75,Good,6.2,62.4,0.594,4.02,69.06,60.0
Gansu,Lanzhou,2014-08-01,32.37,106.43,12.7,16.47,27.22,14.2,0.83,9.48,19.32,2.67,4.57,1.88,46,Excellent,4.9,56.3,0.612,5.05,70.4,59.9
Gansu,Lanzhou,2014-09-01,33.31,80.96,19.7,41.09,23.51,18.04,1.18,19.5,29.03,1.74,4.99,1.85,48,Excellent,4.3,48.4,0.527,3.79,69.82,59.9
Gansu,Lanzhou,2014-10-01,59.56,119.41,17.07,29.85,42.44,15.57,0.79,34.27,38.5,4.75,7.93,2.47,81,Good,3.6,30.4,0.421,4.78,68.64,59.9
Gansu,Lanzhou,2014-11-01,71.97,193.68,50.1,29.44,54.15,15.79,2.56,48.42,48.7,3.37,10.52,2.58,96,Good,4.8,39.9,0.674,3.73,69.34,59.8
Gansu,Lanzhou,2014-12-01,104.17,329.3,14.16,46.75,41.65,25.95,4.52,31.18,34.12,4.24,16.23,3.91,136,Lightly Polluted,5.5,29.1,0.609,4.04,71.77,60.2
Gansu,Lanzhou,2015-01-01,122.94,254.05,21.2,44.28,23.11,36.43,2.51,22.95,57.25,6.52,13.18,4.31,161,Moderately Polluted,6.5,29.5,0.628,5.02,70.2,60.4
Gansu,Lanzhou,2015-02-01,107.34,194.36,46.53,58.3,76.9,27.99,3.14,47.19,27.97,6.74,4.52,2.98,140,Lightly Polluted,5.4,42.9,0.617,4.32,71.77,60.3
Gansu,Lanzhou,2015-03-01,113.44,97.85,24.55,46.84,21.73,29.67,3.15,17.51,62.33,1.41,5.66,3.11,148,Lightly Polluted,13.2,49.8,0.517,4.37,71.5,60.3
Gansu,Lanzhou,2015-04-01,56.92,90.12,21.36,20.97,53.48,18.08,1.31,22.46,51.99,1.63,6.34,1.19,77,Good,14.1,48.9,0.727,4.08,71.53,60.4
Gansu,Lanzhou,2015-05-01,93.67,161.31,13.91,19.54,31.35,20.47,1.63,20.83,20.4,1.81,2.68,2.82,123,Lightly Polluted,9.4,54.0,0.699,3.77,71.49,60.3
Gansu,Lanzhou,2015-06-01,38.05,121.84,8.7,19.11,15.31,19.59,1.46,25.01,21.03,2.84,9.95,1.46,54,Good,6.7,58.6,0.628,4.71,70.75,60.5
Gansu,Lanzhou,2015-07-01,36.75,141.29,10.52,19.45,10.07,8.35,1.42,16.79,16.94,1.83,5.09,1.61,52,Good,5.0,74.8,0.687,3.4,70.87,60.4
Gansu,Lanzhou,2015-08-01,65.05,73.36,15.97,21.62,39.83,9.87,1.02,14.96,19.92,1.21,4.36,2.08,87,Good,10.8,63.3,0.459,4.24,69.9,60.4
Gansu,Lanzhou,2015-09-01,43.84,131.52,14.03,14.21,30.37,18.33,1.24,25.91,39.05,3.86,2.93,2.62,61,Good,7.8,47.8,0.611,4.07,69.88,60.0
Gansu,Lanzhou,2015-10-01,53.82,143.53,38.13,27.31,58.99,15.28,2.28,20.55,19.95,1.19,6.93,2.27,73,Good,10.2,44.6,0.651,4.29,70.46,60.3
Gansu,Lanzhou,2015-11-01,122.84,237.15,13.24,47.02,37.62,11.65,1.42,43.02,65.7,3.32,13.58,2.24,161,Moderately Polluted,7.9,41.7,0.669,3.96,71.39,60.5
Gansu,Lanzhou,2015-12-01,168.6,224.97,23.61,42.46,49.18,41.69,2.2,56.66,82.51,7.19,7.2,4.97,219,Heavily Polluted,6.6,24.9,0.742,3.82,70.6,60.5
Gansu,Lanzhou,2016-01-01,151.16,336.98,51.26,40.07,51.29,36.1,3.32,51.36,84.2,2.97,13.05,3.66,201,Heavily Polluted,8.3,34.6,0.617,4.66,71.89,60.5
Gansu,Lanzhou,2016-02-01,71.21,204.89,34.35,34.42,15.23,27.7,3.06,23.67,46.08,7.01,12.15,2.26,95,Good,5.5,24.8,0.762,3.43,72.11,60.4
Gansu,Lanzhou,2016-03-01,47.11,102.42,39.15,29.16,36.58,28.08,1.65,32.16,18.66,3.89,6.3,2.95,65,Good,9.7,52.6,0.553,3.75,72.59,60.7
Gansu,Lanzhou,2016-04-01,81.07,86.39,30.26,38.57,38.08,27.64,1.4,26.01,25.21,3.36,2.75,2.37,107,Lightly Polluted,8.9,42.2,0.576,4.23,72.13,60.8
Gansu,Lanzhou,2016-05-01,88.42,94.24,23.45,43.27,23.96,8.39,1.76,24.26,34.38,2.06,8.9,1.4,117,Lightly Polluted,9.5,54.4,0.588,4.01,71.55,60.4
Gansu,Lanzhou,2016-06-01,31.52,138.04,16.86,28.73,13.42,18.2,0.85,25.5,25.39,0.61,5.83,1.26,45,Excellent,5.6,55.9,0.504,3.83,73.63,60.8
Gansu,Lanzhou,2016-07-01,64.1,106.13,17.03,30.99,17.03,7.93,1.31,25.06,31.63,0.87,6.88,1.73,86,Good,4.8,76.3,0.59,4.29,73.76,60.7
Gansu,Lanzhou,2016-08-01,77.71,88.48,12.82,7.47,27.54,18.75,1.73,7.23,15.66,2.25,6.2,0.61,103,Lightly Polluted,8.8,67.3,0.678,4.04,73.12,60.5
Gansu,Lanzhou,2016-09-01,52.27,85.51,17.43,14.07,26.49,11.09,1.83,26.24,24.63,1.87,2.85,0.45,71,Good,5.7,50.9,0.629,4.38,72.2,60.5
Gansu,Lanzhou,2016-10-01,100.51,103.12,19.82,41.15,56.59,17.83,1.61,31.35,38.1,4.7,5.54,2.14,132,Lightly Polluted,5.4,54.0,0.442,5.28,74.08,60.5
Gansu,Lanzhou,2016-11-01,65.97,171.14,23.8,27.66,70.19,41.0,3.27,29.75,69.2,2.75,11.56,3.35,89,Good,3.3,37.1,0.606,3.36,73.43,60.5
Gansu,Lanzhou,2016-12-01,163.66,264.68,15.6,43.89,70.78,16.75,2.63,28.39,77.33,3.99,20.34,2.46,214,Heavily Polluted,10.3,49.9,0.499,4.02,71.36,60.6
Gansu,Lanzhou,2017-01-01,124.87,123.83,33.71,64.45,81.46,36.52,3.72,51.9,73.59,7.51,7.35,1.22,164,Moderately Polluted,8.2,50.0,0.627,4.27,73.06,60.9
Gansu,Lanzhou,2017-02-01,99.31,193.37,39.15,55.75,60.76,20.1,2.79,27.47,30.45,3.14,5.75,5.31,130,Lightly Polluted,10.4,25.6,0.446,4.31,74.8,60.8
Gansu,Lanzhou,2017-03-01,74.6,193.81,11.89,32.91,25.56,27.94,1.16,19.8,24.69,2.35,5.06,0.86,99,Good,10.7,23.7,0.558,3.31,74.6,61.0
Gansu,Lanzhou,2017-04-01,47.37,96.32,26.17,23.41,38.46,9.47,1.41,22.0,38.31,1.44,13.33,2.45,65,Good,15.8,39.7,0.588,5.31,75.05,60.8
Gansu,Lanzhou,2017-05-01,72.62,147.71,18.72,42.49,19.93,25.16,2.32,27.4,56.07,1.7,9.37,1.62,97,Good,9.5,34.6,0.598,4.85,75.85,60.7
Gansu,Lanzhou,2017-06-01,69.9,89.85,4.56,18.33,14.02,18.21,1.58,8.23,37.13,3.12,4.48,2.4,94,Good,13.5,47.5,0.605,4.38,74.12,61.0
Gansu,Lanzhou,2017-07-01,65.42,58.2,15.57,20.38,15.59,18.47,0.89,9.85,22.3,2.45,2.55,0.47,88,Good,9.6,70.7,0.625,4.86,74.05,60.9
Gansu,Lanzhou,2017-08-01,32.63,106.98,21.93,7.51,1.92,16.85,2.01,23.73,27.21,1.37,6.78,2.26,47,Excellent,5.0,53.7,0.663,3.88,72.78,60.8
Gansu,Lanzhou,2017-09-01,44.86,46.38,25.37,19.15,40.28,12.72,2.06,13.27,20.23,4.02,5.85,1.47,62,Good,5.8,55.4,0.541,4.92,74.31,60.8
Gansu,Lanzhou,2017-10-01,99.74,92.81,33.32,42.24,16.33,18.09,1.0,7.36,52.65,4.04,8.88,1.79,131,Lightly Polluted,8.8,32.5,0.527,4.19,74.96,60.9
Gansu,Lanzhou,2017-11-01,76.21,276.92,33.13,51.97,69.74,13.75,1.62,36.85,65.78,3.5,14.59,3.49,101,Lightly Polluted,5.0,29.4,0.568,4.49,73.54,61.1
Gansu,Lanzhou,2017-12-01,175.51,270.71,31.36,49.74,30.16,44.39,3.1,24.92,80.82,7.21,18.56,2.49,226,Heavily Polluted,5.4,37.7,0.659,4.93,74.23,60.7
Gansu,Lanzhou,2018-01-01,121.06,147.86,38.23,60.77,36.79,27.39,1.71,48.93,89.0,5.63,5.18,1.96,158,Moderately Polluted,8.2,45.8,0.531,5.07,75.7,61.0
Gansu,Lanzhou,2018-02-01,58.77,192.3,40.87,38.9,21.63,37.17,1.09,48.19,40.12,5.14,15.87,3.4,80,Good,11.3,40.9,0.558,3.94,75.43,61.2
Gansu,Lanzhou,2018-03-01,121.74,221.39,31.83,45.67,39.72,35.17,2.67,37.46,37.26,4.84,7.55,1.82,159,Moderately Polluted,5.7,45.6,0.519,4.08,73.49,61.2
Gansu,Lanzhou,2018-04-01,99.12,103.93,20.31,39.01,17.99,13.17,2.56,18.76,26.85,3.46,8.38,2.12,130,Lightly Polluted,7.1,46.6,0.506,4.28,74.03,61.4
Gansu,Lanzhou,2018-05-01,77.63,160.15,13.34,25.22,44.02,18.72,1.39,23.03,44.95,3.36,6.84,1.44,103,Lightly Polluted,7.3,44.6,0.564,4.88,75.87,61.2
Gansu,Lanzhou,2018-06-01,50.65,81.14,6.03,15.99,10.39,9.9,1.08,21.23,31.46,1.19,7.4,1.76,69,Good,10.3,64.5,0.391,3.65,75.64,61.1
Gansu,Lanzhou,2018-07-01,55.09,68.38,17.2,29.74,26.83,7.1,1.72,25.28,43.35,3.18,2.53,1.27,75,Good,11.2,66.7,0.595,4.78,75.49,61.2
Gansu,Lanzhou,2018-08-01,64.18,104.44,11.82,21.01,36.28,6.95,1.46,18.09,19.8,1.97,6.89,2.36,86,Good,7.3,75.5,0.693,4.38,75.07,60.9
Gansu,Lanzhou,2018-09-01,48.06,73.45,20.69,15.16,21.52,19.0,0.99,21.32,40.64,3.49,6.03,0.93,66,Good,11.7,61.8,0.507,4.42,74.76,61.1
Gansu,Lanzhou,2018-10-01,56.73,111.83,11.37,27.71,36.65,17.1,2.16,9.32,49.07,4.7,5.18,2.24,77,Good,8.5,35.1,0.613,4.9,74.53,61.5
Gansu,Lanzhou,2018-11-01,142.46,228.13,43.71,29.87,50.72,23.69,3.67,22.47,53.28,4.6,11.59,2.18,189,Moderately Polluted,5.6,43.4,0.413,4.16,75.37,61.4
Gansu,Lanzhou,2018-12-01,122.34,281.66,43.9,62.05,23.88,38.98,3.53,36.67,84.9,2.61,9.49,1.64,160,Moderately Polluted,5.7,41.2,0.619,4.33,76.01,61.1
Gansu,Lanzhou,2019-01-01,86.48,282.16,37.87,48.05,37.79,45.34,3.73,29.38,39.29,4.42,18.22,1.02,114,Lightly Polluted,10.0,31.2,0.603,4.89,76.8,61.4
Gansu,Lanzhou,2019-02-01,76.79,228.36,12.93,36.96,55.08,29.53,3.25,24.41,76.14,5.41,5.53,2.56,102,Lightly Polluted,8.5,39.5,0.454,4.93,76.36,61.4
Gansu,Lanzhou,2019-03-01,80.36,83.74,15.39,32.83,39.18,13.17,1.53,27.48,46.05,2.36,9.47,3.28,106,Lightly Polluted,13.3,22.6,0.643,4.65,76.15,61.6
Gansu,Lanzhou,2019-04-01,54.13,86.45,30.22,15.63,20.19,14.45,2.26,10.1,33.2,0.67,5.04,1.32,74,Good,5.7,27.5,0.622,3.39,76.67,61.7
Gansu,Lanzhou,2019-05-01,35.93,174.31,7.91,37.69,27.45,12.82,0.99,20.94,46.14,2.83,9.61,1.15,51,Good,12.2,35.1,0.681,4.84,75.2,61.5
Gansu,Lanzhou,2019-06-01,38.6,119.56,10.52,16.13,21.73,20.42,1.44,14.98,40.15,1.91,3.03,2.14,54,Good,9.9,44.8,0.587,5.01,77.11,61.6
Gansu,Lanzhou,2019-07-01,41.87,130.42,10.04,18.32,27.41,5.22,1.46,19.16,21.58,2.51,5.8,1.36,58,Good,9.0,68.4,0.434,4.63,75.54,61.4
Gansu,Lanzhou,2019-08-01,43.95,62.95,24.09,32.24,10.34,13.12,0.47,21.7,32.6,0.93,4.75,1.25,61,Good,9.8,66.1,0.492,4.32,76.38,61.7
Gansu,Lanzhou,2019-09-01,71.69,97.78,29.99,32.18,36.05,11.31,0.83,8.23,29.38,1.35,5.95,0.6,96,Good,9.8,40.3,0.52,4.45,76.28,61.6
Gansu,Lanzhou,2019-10-01,83.34,198.24,8.87,30.8,50.27,25.23,2.19,22.73,20.59,3.18,7.68,2.03,110,Lightly Polluted,10.3,50.7,0.563,5.39,74.65,61.3
Gansu,Lanzhou,2019-11-01,96.49,148.59,14.42,40.49,72.61,12.25,3.02,34.89,46.38,3.37,8.81,1.67,127,Lightly Polluted,6.2,38.7,0.574,4.84,75.25,61.4
Gansu,Lanzhou,2019-12-01,88.43,178.62,41.27,59.94,32.43,16.83,1.74,49.56,57.86,7.37,7.4,4.6,117,Lightly Polluted,5.0,38.7,0.358,4.39,77.97,61.5
Gansu,Lanzhou,2020-01-01,49.41,82.18,29.38,41.98,44.78,11.99,2.04,37.57,17.94,1.42,11.43,3.51,68,Good,5.0,26.4,0.491,4.99,76.46,61.9
Gansu,Lanzhou,2020-02-01,42.66,81.0,5.16,12.07,12.12,2.28,0.72,10.92,7.05,1.57,1.35,0.73,59,Good,7.7,21.2,0.428,4.18,76.21,61.8
Gansu,Lanzhou,2020-03-01,48.75,57.43,13.4,18.62,7.74,4.51,1.06,9.47,8.93,0.9,2.74,0.73,67,Good,12.8,20.5,0.565,4.21,79.11,62.0
Gansu,Lanzhou,2020-04-01,30.91,71.92,3.33,26.86,24.79,10.54,0.82,13.56,23.62,0.98,1.73,1.46,44,Excellent,11.0,41.9,0.655,4.24,79.64,61.9
Gansu,Lanzhou,2020-05-01,50.25,110.88,8.83,16.24,14.44,3.84,1.36,12.45,18.19,3.4,4.08,1.82,69,Good,12.3,62.8,0.464,4.38,78.11,62.2
Gansu,Lanzhou,2020-06-01,34.65,93.78,23.29,15.57,23.28,14.08,1.13,21.6,45.75,2.33,6.38,0.71,50,Excellent,10.0,63.8,0.452,5.21,77.77,62.2
Gansu,Lanzhou,2020-07-01,39.5,80.15,9.05,29.27,25.35,12.3,1.08,11.88,32.23,1.05,2.24,0.85,55,Good,10.6,58.7,0.402,5.47,76.39,62.1
Gansu,Lanzhou,2020-08-01,53.27,49.05,11.67,14.56,25.7,8.8,0.94,19.74,17.38,1.15,4.45,1.2,73,Good,5.4,66.4,0.514,4.89,77.75,62.1
Gansu,Lanzhou,2020-09-01,34.4,129.27,6.15,20.18,34.69,15.14,0.52,21.37,18.15,2.76,6.91,1.19,49,Excellent,10.6,61.2,0.574,3.9,75.86,61.8
Gansu,Lanzhou,2020-10-01,62.03,175.34,22.17,38.28,25.39,4.11,1.8,17.91,27.75,1.86,7.97,1.3,84,Good,8.0,26.3,0.346,5.01,78.7,61.9
Gansu,Lanzhou,2020-11-01,64.55,149.01,26.26,60.07,36.92,14.87,2.06,23.8,33.16,4.09,8.0,3.77,87,Good,7.4,39.3,0.555,5.13,78.74,61.7
Gansu,Lanzhou,2020-12-01,106.78,280.51,18.46,69.52,53.85,28.3,2.35,19.15,44.23,5.99,19.59,1.38,140,Lightly Polluted,6.2,21.7,0.501,4.43,76.9,61.6
Gansu,Lanzhou,2021-01-01,158.45,199.82,44.71,50.74,66.71,44.91,4.15,38.39,75.13,2.27,12.49,1.6,208,Heavily Polluted,4.8,42.6,0.467,5.24,79.99,61.9
Gansu,Lanzhou,2021-02-01,148.88,169.08,34.97,66.66,32.16,11.21,1.88,29.37,27.11,4.93,4.29,2.59,198,Moderately Polluted,7.7,37.6,0.467,4.48,79.04,62.3
Gansu,Lanzhou,2021-03-01,94.87,205.99,22.68,32.77,28.07,12.94,0.77,34.16,54.52,4.83,9.4,1.12,125,Lightly Polluted,13.5,54.0,0.443,3.95,78.44,62.0
Gansu,Lanzhou,2021-04-01,73.78,118.85,22.88,33.62,45.8,18.29,2.07,12.24,47.87,2.12,4.68,1.1,98,Good,13.3,29.9,0.455,4.95,79.56,61.8
Gansu,Lanzhou,2021-05-01,69.81,87.89,26.11,35.26,26.67,15.36,1.31,13.39,57.0,2.01,8.43,2.58,93,Good,8.0,53.5,0.562,5.23,80.2,62.1
Gansu,Lanzhou,2021-06-01,38.8,93.04,11.85,34.87,17.88,19.59,1.36,18.91,46.42,2.73,5.91,1.33,55,Good,11.4,44.2,0.469,4.99,79.15,62.1
Gansu,Lanzhou,2021-07-01,57.99,106.53,11.6,15.53,19.89,11.94,1.24,21.71,26.89,2.96,3.95,0.64,79,Good,4.9,73.7,0.638,4.07,80.59,61.8
Gansu,Lanzhou,2021-08-01,38.97,101.41,15.47,27.78,17.63,16.63,0.52,20.36,27.56,0.98,6.31,1.0,55,Good,11.3,69.5,0.517,5.87,79.79,61.9
Gansu,Lanzhou,2021-09-01,65.02,96.93,18.78,27.33,31.7,15.77,1.25,5.95,30.96,2.83,3.64,1.95,87,Good,6.4,48.1,0.561,4.65,79.14,62.0
Gansu,Lanzhou,2021-10-01,51.55,73.12,31.47,40.24,30.0,21.77,1.44,26.98,38.11,3.68,8.18,2.43,71,Good,9.4,38.8,0.562,5.19,77.88,61.9
Gansu,Lanzhou,2021-11-01,125.99,130.87,28.51,36.01,29.82,31.31,2.55,33.14,47.94,3.54,16.45,1.05,165,Moderately Polluted,9.8,42.3,0.561,4.34,76.13,61.9
Gansu,Lanzhou,2021-12-01,147.05,243.34,51.5,50.1,71.2,13.41,3.49,25.11,76.27,6.3,20.09,1.46,196,Moderately Polluted,7.8,45.3,0.543,5.06,79.9,62.0
Gansu,Lanzhou,2022-01-01,128.92,267.77,33.64,53.59,66.46,22.98,1.5,18.53,47.35,6.07,16.58,3.83,170,Moderately Polluted,10.6,44.5,0.627,4.76,79.6,62.3
Gansu,Lanzhou,2022-02-01,71.38,105.98,18.88,44.95,32.23,23.7,2.57,43.81,67.72,4.29,17.21,4.08,95,Good,7.9,21.4,0.365,3.86,79.88,62.4
Gansu,Lanzhou,2022-03-01,46.47,131.64,39.36,38.89,32.67,26.18,2.32,21.2,26.43,1.74,10.36,2.59,64,Good,11.8,40.0,0.382,4.62,78.67,62.4
Gansu,Lanzhou,2022-04-01,52.68,141.66,26.84,30.06,34.76,15.83,1.39,12.77,40.5,3.03,5.6,1.95,72,Good,15.9,57.2,0.384,5.2,80.68,62.5
Gansu,Lanzhou,2022-05-01,36.46,92.85,31.67,21.18,38.23,15.43,0.86,17.26,41.54,2.03,8.47,0.67,52,Good,13.9,37.0,0.415,4.72,80.7,62.6
Gansu,Lanzhou,2022-06-01,58.13,111.68,9.03,22.97,26.28,5.62,1.21,17.38,21.61,1.99,4.08,1.53,79,Good,11.5,46.2,0.528,5.16,79.56,62.6
Gansu,Lanzhou,2022-07-01,39.8,121.37,24.89,21.92,26.55,17.87,1.19,10.42,43.97,3.23,3.22,2.36,56,Good,7.8,53.0,0.302,4.61,78.21,62.5
Gansu,Lanzhou,2022-08-01,32.44,94.83,7.03,19.36,22.6,9.2,1.58,11.8,19.05,0.69,6.71,1.23,46,Excellent,10.8,59.3,0.49,4.61,82.23,62.6
Gansu,Lanzhou,2022-09-01,67.1,129.67,12.43,12.8,28.14,9.64,1.07,13.71,22.97,1.76,8.91,1.99,90,Good,6.7,51.0,0.428,4.91,80.2,62.3
Gansu,Lanzhou,2022-10-01,45.55,145.11,25.9,32.45,29.43,23.7,0.67,16.36,13.61,3.21,9.45,1.4,63,Good,7.6,50.3,0.548,4.33,80.48,62.4
Gansu,Lanzhou,2022-11-01,109.6,190.12,43.93,23.1,33.28,34.14,2.18,34.94,34.73,3.07,6.36,3.1,143,Lightly Polluted,3.8,39.4,0.4,4.54,82.35,62.6
Gansu,Lanzhou,2022-12-01,123.97,120.44,52.05,72.9,48.97,15.36,1.74,38.98,34.82,7.79,8.34,3.07,162,Moderately Polluted,6.3,25.3,0.553,4.18,79.75,62.4
