Division,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Dhaka,Faridpur,2018-12-01,416.9,581.71,40.3,133.86,74.41,53.38,7.29,42.36,132.84,9.5,15.97,5.06,434,Hazardous,2.2,69.9,0.116,5.62,66.42,2049.7
Dhaka,Faridpur,2019-01-01,211.98,378.17,40.88,98.27,134.08,48.89,10.24,85.31,81.63,9.75,25.51,2.89,262,Very Unhealthy,3.6,69.1,0.144,3.78,68.49,2060.8
Dhaka,Faridpur,2019-02-01,412.27,694.03,86.61,109.46,133.99,34.29,6.68,43.1,111.04,9.8,13.81,5.7,430,Hazardous,7.6,61.6,0.169,5.25,70.63,2055.8
Dhaka,Faridpur,2019-03-01,124.82,367.82,39.08,70.14,47.83,53.31,5.57,64.48,66.84,2.3,25.92,4.09,187,Unhealthy,4.0,64.1,0.112,5.34,70.75,2059.2
Dhaka,Faridpur,2019-04-01,218.59,240.49,26.2,43.89,74.68,23.25,3.97,39.03,58.12,8.68,22.32,1.3,268,Very Unhealthy,8.6,71.9,0.169,4.86,68.22,2060.2
Dhaka,Faridpur,2019-05-01,100.64,153.12,39.56,65.79,38.1,17.1,1.41,28.74,64.69,4.77,5.55,4.96,174,Unhealthy,13.9,82.3,0.132,5.24,66.78,2066.4
Dhaka,Faridpur,2019-06-01,48.82,81.91,30.33,43.45,35.37,12.19,1.17,16.48,42.69,1.36,15.29,3.58,134,Unhealthy for Sensitive Groups,8.4,93.3,0.136,5.86,68.74,2066.7
Dhaka,Faridpur,2019-07-01,49.47,91.35,31.49,23.94,16.03,22.66,1.49,8.56,25.35,2.19,5.62,3.29,135,Unhealthy for Sensitive Groups,12.6,92.8,0.15,5.05,66.63,2070.3
Dhaka,Faridpur,2019-08-01,54.17,131.72,14.35,47.99,45.9,20.8,1.0,13.73,42.49,2.61,2.99,0.53,147,Unhealthy for Sensitive Groups,9.1,86.2,0.164,4.66,68.23,2055.3
Dhaka,Faridpur,2019-09-01,51.69,117.01,13.4,47.07,49.79,21.34,1.46,12.15,31.43,3.77,3.89,3.71,141,Unhealthy for Sensitive Groups,12.1,89.7,0.163,6.32,68.28,2068.2
Dhaka,Faridpur,2019-10-01,80.52,205.25,37.45,76.51,40.15,13.85,3.65,25.41,59.38,3.08,8.82,4.24,164,Unhealthy,8.3,86.3,0.167,6.16,68.08,2064.7
Dhaka,Faridpur,2019-11-01,234.03,380.58,51.5,95.84,132.71,26.97,5.43,32.11,83.27,3.35,19.78,3.48,284,Very Unhealthy,0.7,64.1,0.131,6.48,68.49,2063.1
Dhaka,Faridpur,2019-12-01,156.4,360.14,79.41,90.17,118.35,33.44,11.25,76.85,108.53,10.05,9.32,6.23,207,Very Unhealthy,5.3,73.0,0.153,8.48,69.02,2065.8
Dhaka,Faridpur,2020-01-01,225.42,491.31,59.17,129.71,144.05,21.54,6.17,51.88,125.01,13.91,13.49,6.41,275,Very Unhealthy,4.5,73.0,0.212,4.14,71.89,2084.6
Dhaka,Faridpur,2020-02-01,343.01,587.85,82.35,115.43,121.61,65.49,7.96,34.16,60.12,4.39,28.09,3.66,375,Hazardous,5.1,52.8,0.186,5.28,70.07,2090.2
Dhaka,Faridpur,2020-03-01,246.0,354.22,41.57,42.96,41.87,33.61,6.69,32.07,64.17,2.31,17.32,1.03,296,Very Unhealthy,8.0,66.5,0.158,6.54,71.23,2091.7
Dhaka,Faridpur,2020-04-01,124.61,181.42,23.18,45.62,46.4,10.61,3.05,17.77,35.14,2.01,2.99,2.71,187,Unhealthy,6.8,65.0,0.143,6.24,71.47,2093.5
Dhaka,Faridpur,2020-05-01,71.59,133.8,21.17,45.61,31.83,8.22,0.98,17.3,48.11,2.6,10.98,0.68,159,Unhealthy,11.0,67.2,0.106,5.39,73.21,2087.7
Dhaka,Faridpur,2020-06-01,95.56,139.55,19.2,42.8,33.46,9.45,1.39,25.32,26.24,4.83,2.42,3.1,172,Unhealthy,15.4,85.4,0.189,6.21,70.88,2087.9
Dhaka,Faridpur,2020-07-01,33.08,162.7,32.52,49.56,23.32,20.89,1.5,16.12,29.4,4.63,5.99,3.36,95,Moderate,12.3,96.2,0.104,6.0,70.8,2087.4
Dhaka,Faridpur,2020-08-01,103.71,136.72,26.62,33.06,25.51,9.68,1.85,9.43,29.14,3.52,8.05,1.62,176,Unhealthy,10.2,89.7,0.161,5.47,72.28,2098.6
Dhaka,Faridpur,2020-09-01,44.19,155.04,33.92,47.02,66.56,16.34,1.88,23.62,37.5,5.9,14.9,3.38,122,Unhealthy for Sensitive Groups,5.5,83.6,0.176,6.51,69.34,2096.0
Dhaka,Faridpur,2020-10-01,63.49,218.1,27.16,72.67,87.44,19.8,1.6,17.69,56.52,5.97,4.54,1.97,155,Unhealthy,9.3,70.3,0.191,4.94,69.69,2087.0
Dhaka,Faridpur,2020-11-01,284.52,570.93,47.81,110.12,122.92,38.02,4.65,39.55,86.35,9.06,13.11,7.27,328,Hazardous,2.6,67.7,0.177,4.97,71.57,2093.4
Dhaka,Faridpur,2020-12-01,263.38,542.05,87.16,89.02,60.37,27.66,3.52,71.87,104.8,5.92,33.62,3.78,311,Hazardous,4.8,70.7,0.119,5.4,71.71,2086.1
Dhaka,Faridpur,2021-01-01,151.88,373.12,88.11,123.18,123.56,45.76,6.14,47.64,72.99,13.71,12.76,5.72,202,Very Unhealthy,3.0,71.4,0.178,5.7,74.73,2115.1
Dhaka,Faridpur,2021-02-01,214.09,608.73,47.58,126.02,128.87,52.99,11.77,58.0,122.27,8.89,27.22,3.12,264,Very Unhealthy,5.4,65.8,0.175,6.02,74.6,2111.8
Dhaka,Faridpur,2021-03-01,113.14,345.63,30.34,84.21,82.01,36.05,2.94,76.29,57.13,5.23,24.42,7.8,181,Unhealthy,5.9,62.9,0.216,3.39,72.57,2125.9
Dhaka,Faridpur,2021-04-01,265.7,320.59,46.57,93.23,80.81,29.91,3.95,42.41,72.5,1.71,14.14,2.94,313,Hazardous,8.6,57.1,0.135,5.93,75.66,2111.3
Dhaka,Faridpur,2021-05-01,148.67,236.45,51.69,62.36,79.47,31.28,1.63,28.47,57.75,3.01,10.8,5.47,199,Unhealthy,10.2,73.1,0.166,4.65,73.17,2110.7
Dhaka,Faridpur,2021-06-01,89.95,81.91,30.62,58.21,57.14,27.81,1.2,19.14,34.68,4.5,9.77,3.52,169,Unhealthy,13.0,98.3,0.114,5.76,77.04,2115.0
Dhaka,Faridpur,2021-07-01,66.57,160.92,17.26,38.67,45.08,11.08,2.44,10.76,50.1,0.74,6.48,2.84,157,Unhealthy,14.2,89.6,0.166,9.03,72.45,2113.4
Dhaka,Faridpur,2021-08-01,54.5,136.77,23.71,25.11,39.05,22.18,1.49,23.86,34.22,4.73,10.21,2.77,148,Unhealthy for Sensitive Groups,12.5,89.5,0.157,4.99,74.3,2110.3
Dhaka,Faridpur,2021-09-01,77.14,157.9,15.78,38.27,64.58,17.9,1.99,10.96,39.19,4.7,13.92,4.22,162,Unhealthy,4.2,90.8,0.115,5.73,71.18,2111.8
Dhaka,Faridpur,2021-10-01,63.68,140.62,29.49,66.07,71.95,24.19,4.17,29.14,47.2,7.64,14.49,1.13,155,Unhealthy,4.5,74.1,0.121,5.84,73.84,2109.4
Dhaka,Faridpur,2021-11-01,423.33,464.08,30.96,48.73,53.63,26.7,7.77,97.77,75.2,6.69,13.41,7.71,439,Hazardous,5.0,80.2,0.132,6.36,74.9,2119.0
Dhaka,Faridpur,2021-12-01,352.27,676.91,29.42,80.53,84.3,66.81,4.15,48.36,134.06,3.83,27.51,5.83,382,Hazardous,4.1,55.6,0.153,4.72,74.33,2121.1
Dhaka,Faridpur,2022-01-01,408.63,413.39,43.72,91.3,168.99,33.15,12.8,60.36,91.84,13.12,14.08,2.35,427,Hazardous,5.7,63.0,0.16,4.45,77.26,2134.7
Dhaka,Faridpur,2022-02-01,316.69,704.89,38.77,63.63,68.69,66.35,8.4,69.92,109.94,4.42,18.31,6.41,354,Hazardous,5.8,71.2,0.168,6.62,75.77,2136.0
Dhaka,Faridpur,2022-03-01,320.22,286.01,75.27,119.74,100.85,40.69,3.02,53.56,70.15,4.63,22.21,2.77,357,Hazardous,2.4,53.2,0.149,5.4,77.97,2129.1
Dhaka,Faridpur,2022-04-01,237.25,282.29,59.89,44.38,61.84,25.86,3.68,47.58,72.25,8.83,18.19,5.76,287,Very Unhealthy,10.7,73.9,0.142,7.58,73.56,2141.0
Dhaka,Faridpur,2022-05-01,118.25,235.5,47.05,62.2,29.24,27.07,3.58,37.94,40.49,2.02,20.03,4.26,183,Unhealthy,5.3,81.2,0.138,5.85,76.81,2139.1
Dhaka,Faridpur,2022-06-01,69.6,194.45,26.67,59.55,55.33,16.24,1.98,23.32,49.28,4.7,6.48,1.38,158,Unhealthy,13.0,82.5,0.179,4.76,78.09,2125.6
Dhaka,Faridpur,2022-07-01,84.31,138.35,30.22,47.1,52.42,23.84,0.97,8.99,39.13,1.7,7.81,1.29,166,Unhealthy,9.0,95.7,0.147,6.32,77.47,2133.2
Dhaka,Faridpur,2022-08-01,91.09,99.23,11.05,43.77,54.61,15.74,1.47,12.37,46.85,3.8,6.12,0.85,169,Unhealthy,11.4,95.5,0.178,6.46,78.33,2137.6
Dhaka,Faridpur,2022-09-01,43.02,175.07,25.29,25.46,31.08,13.55,3.21,19.47,47.03,5.12,11.42,1.27,120,Unhealthy for Sensitive Groups,3.7,81.2,0.14,5.66,75.14,2136.4
Dhaka,Faridpur,2022-10-01,122.46,117.02,49.11,44.09,93.66,38.07,2.22,38.69,69.22,3.35,5.38,2.18,186,Unhealthy,3.1,70.3,0.17,6.11,79.28,2143.9
Dhaka,Faridpur,2022-11-01,388.6,484.96,63.96,118.79,128.62,50.86,8.18,83.79,49.89,6.51,21.08,2.59,411,Hazardous,4.9,63.0,0.132,5.06,76.25,2144.0
Dhaka,Faridpur,2022-12-01,331.02,527.65,65.33,73.06,118.87,60.98,7.14,54.15,128.22,9.49,19.77,6.96,365,Hazardous,3.9,66.6,0.21,8.08,79.64,2133.4
Dhaka,Faridpur,2023-01-01,363.73,627.88,47.29,129.36,139.69,47.03,6.17,55.54,97.59,10.89,28.7,5.54,391,Hazardous,5.7,72.0,0.171,5.61,78.47,2150.4
Dhaka,Faridpur,2023-02-01,305.73,566.01,51.14,61.28,90.0,53.71,6.44,100.0,65.26,13.2,25.07,8.9,345,Hazardous,5.8,60.7,0.145,6.4,78.03,2165.1
Dhaka,Faridpur,2023-03-01,323.56,452.44,43.8,88.1,59.21,30.95,3.94,40.96,119.7,2.27,15.19,7.05,359,Hazardous,6.3,65.2,0.064,5.83,82.56,2155.9
Dhaka,Faridpur,2023-04-01,198.54,504.68,25.03,80.2,55.34,23.18,7.95,79.33,66.34,4.03,24.71,1.71,249,Very Unhealthy,6.0,70.4,0.149,4.79,77.69,2153.2
Dhaka,Faridpur,2023-05-01,133.08,151.26,46.65,75.79,40.23,31.35,2.31,38.37,56.28,5.46,18.56,2.39,191,Unhealthy,12.3,73.7,0.148,8.37,79.71,2151.0
Dhaka,Faridpur,2023-06-01,43.53,172.81,31.77,37.59,52.06,27.77,0.96,26.71,54.2,2.05,9.47,3.47,121,Unhealthy for Sensitive Groups,9.7,93.4,0.184,6.82,79.68,2171.0
Dhaka,Faridpur,2023-07-01,42.92,97.69,30.31,37.55,55.1,18.66,2.65,23.56,21.71,3.77,7.87,2.83,119,Unhealthy for Sensitive Groups,14.9,87.2,0.164,5.1,80.68,2157.3
Dhaka,Faridpur,2023-08-01,41.13,144.46,22.76,37.96,37.44,21.69,1.07,16.64,47.54,3.23,13.5,3.33,115,Unhealthy for Sensitive Groups,11.2,82.8,0.1,6.55,79.3,2163.4
Dhaka,Faridpur,2023-09-01,117.83,130.67,13.37,54.79,45.42,25.41,1.84,27.29,53.56,3.64,9.4,2.68,183,Unhealthy,11.0,91.0,0.197,5.4,77.67,2164.4
Dhaka,Faridpur,2023-10-01,55.79,200.52,23.04,38.92,42.36,13.2,1.77,15.51,43.61,1.46,11.08,4.99,151,Unhealthy,7.7,85.6,0.135,7.35,79.2,2151.6
Dhaka,Faridpur,2023-11-01,167.48,492.42,73.29,74.46,123.59,31.69,9.21,78.52,74.47,4.88,28.31,1.71,218,Very Unhealthy,4.9,75.9,0.146,6.09,79.23,2164.7
Dhaka,Faridpur,2023-12-01,238.07,448.53,37.61,119.49,73.87,34.44,6.9,100.0,106.61,9.92,34.19,7.95,288,Very Unhealthy,5.1,56.8,0.178,8.87,78.31,2174.0
Dhaka,Faridpur,2024-01-01,455.02,814.17,72.37,126.1,176.61,48.46,5.24,70.22,65.18,11.19,29.89,6.45,464,Hazardous,4.6,76.2,0.147,5.47,82.66,2194.3
Dhaka,Faridpur,2024-02-01,473.39,341.71,61.18,70.3,109.2,46.13,11.84,100.0,89.45,2.52,17.41,8.62,479,Hazardous,4.6,53.2,0.18,6.14,83.26,2185.2
Dhaka,Faridpur,2024-03-01,296.58,446.7,72.21,53.78,121.26,29.23,8.97,74.93,123.02,3.75,30.11,4.74,338,Hazardous,7.7,58.2,0.122,5.89,82.13,2177.6
Dhaka,Faridpur,2024-04-01,148.81,481.16,23.39,80.54,52.94,30.51,2.99,82.35,72.42,3.03,14.4,1.75,199,Unhealthy,6.8,71.6,0.135,7.47,81.18,2185.6
Dhaka,Faridpur,2024-05-01,159.35,123.44,43.49,41.05,81.22,16.49,4.27,34.77,69.93,7.35,18.26,2.57,210,Very Unhealthy,7.5,65.5,0.2,6.29,82.28,2189.6
Dhaka,Faridpur,2024-06-01,105.11,196.51,35.75,48.42,38.12,26.91,2.03,10.91,31.34,2.44,7.49,1.1,177,Unhealthy,14.8,94.1,0.16,7.0,83.56,2184.9
Dhaka,Faridpur,2024-07-01,92.35,153.58,19.35,51.76,34.39,10.18,1.79,19.87,36.7,3.02,12.74,0.5,170,Unhealthy,7.2,89.6,0.112,5.1,81.71,2186.9
Dhaka,Faridpur,2024-08-01,86.25,97.16,24.3,41.08,25.28,13.51,2.28,12.08,48.75,2.56,9.11,0.97,167,Unhealthy,12.8,88.4,0.143,5.99,82.5,2173.3
Dhaka,Faridpur,2024-09-01,98.53,76.76,24.48,31.56,68.53,20.26,2.07,17.5,52.71,1.2,5.56,1.35,173,Unhealthy,6.5,85.4,0.165,6.25,82.11,2192.3
Dhaka,Faridpur,2024-10-01,96.3,243.41,40.37,41.64,55.87,28.82,2.68,20.45,71.45,5.88,21.49,2.7,172,Unhealthy,5.3,74.4,0.14,6.74,82.49,2185.1
Dhaka,Faridpur,2024-11-01,305.3,375.91,70.74,103.12,73.49,53.91,9.06,84.81,75.14,2.3,21.23,5.34,345,Hazardous,6.7,67.4,0.118,4.65,81.7,2185.3
Dhaka,Faridpur,2024-12-01,480.63,699.28,63.76,132.73,91.3,27.48,11.23,100.0,142.7,5.63,10.25,7.88,485,Hazardous,2.0,78.0,0.213,6.25,83.63,2190.0
Dhaka,Faridpur,2025-01-01,358.28,375.58,95.03,106.75,120.04,28.0,5.11,40.9,84.72,7.91,31.5,10.99,387,Hazardous,6.2,61.0,0.14,5.82,85.4,2200.7
Dhaka,Faridpur,2025-02-01,147.37,419.86,39.63,134.78,142.72,25.57,4.49,66.74,124.94,3.88,17.3,7.01,198,Unhealthy,6.1,58.4,0.132,5.67,85.19,2204.8
Dhaka,Faridpur,2025-03-01,175.13,278.19,26.1,51.32,132.02,45.66,6.27,73.84,105.29,9.06,11.97,3.3,225,Very Unhealthy,6.6,46.8,0.144,5.36,84.85,2209.6
Dhaka,Faridpur,2025-04-01,206.26,244.84,29.03,68.97,89.73,31.47,2.23,29.67,43.14,2.9,7.97,4.77,256,Very Unhealthy,7.7,71.8,0.16,7.71,86.68,2203.4
Dhaka,Faridpur,2025-05-01,102.85,226.5,45.19,33.52,38.86,32.25,1.31,30.12,59.04,1.35,16.41,1.5,175,Unhealthy,14.3,82.6,0.162,6.9,82.25,2213.0
Dhaka,Faridpur,2025-06-01,45.37,158.41,30.09,27.65,55.67,24.84,2.68,27.4,55.14,1.48,10.89,2.47,125,Unhealthy for Sensitive Groups,7.2,79.1,0.14,6.99,86.0,2215.0
Dhaka,Faridpur,2025-07-01,89.27,174.87,24.64,38.83,44.6,21.66,2.1,9.67,53.78,4.21,5.54,2.11,168,Unhealthy,13.7,92.1,0.155,5.85,84.69,2218.2
Dhaka,Faridpur,2025-08-01,47.15,158.01,18.59,41.57,30.32,16.94,2.21,9.17,52.59,2.89,11.46,2.18,130,Unhealthy for Sensitive Groups,6.4,95.0,0.121,6.69,83.72,2203.8
Dhaka,Faridpur,2025-09-01,78.94,107.94,12.81,31.06,25.24,25.62,3.23,13.3,68.78,0.96,3.96,3.01,163,Unhealthy,5.1,86.0,0.185,7.56,85.3,2202.5
Dhaka,Faridpur,2025-10-01,158.33,196.1,22.87,80.37,45.87,18.74,1.39,22.65,75.97,3.6,4.01,4.08,209,Very Unhealthy,10.9,90.2,0.156,6.05,86.15,2201.3
Dhaka,Faridpur,2025-11-01,244.48,351.82,63.42,95.21,74.95,37.36,8.73,45.25,89.57,3.86,15.21,5.09,294,Very Unhealthy,6.4,63.7,0.173,7.7,86.49,2211.5
Dhaka,Faridpur,2025-12-01,342.65,538.93,67.59,106.14,102.09,30.9,4.48,36.84,118.95,13.8,34.02,8.77,374,Hazardous,4.1,69.9,0.121,4.92,86.61,2210.1
Dhaka,Gazipur,2014-01-01,429.3,628.44,86.88,97.48,200.0,36.38,11.52,48.62,159.36,5.9,10.56,10.64,444,Hazardous,3.8,69.1,0.172,5.41,54.78,1950.1
Dhaka,Gazipur,2014-02-01,402.67,716.93,111.57,162.19,74.94,72.98,8.09,49.27,82.24,14.18,19.16,6.81,422,Hazardous,3.5,55.1,0.148,4.81,54.97,1944.3
Dhaka,Gazipur,2014-03-01,283.43,759.29,45.56,77.76,151.52,57.06,7.32,100.0,147.42,4.5,23.78,3.63,327,Hazardous,3.9,53.8,0.152,5.25,53.59,1949.4
Dhaka,Gazipur,2014-04-01,211.33,290.45,39.43,77.64,70.91,21.33,3.7,81.58,113.91,6.57,13.35,3.11,261,Very Unhealthy,6.8,71.6,0.107,6.66,54.95,1942.0
Dhaka,Gazipur,2014-05-01,173.94,254.52,24.91,95.32,53.38,31.75,4.46,20.1,50.98,6.65,22.39,3.95,224,Very Unhealthy,10.5,77.1,0.152,5.19,52.89,1953.9
Dhaka,Gazipur,2014-06-01,81.73,170.6,26.27,51.1,34.53,11.15,2.05,23.49,53.01,2.02,7.11,3.37,165,Unhealthy,12.4,88.2,0.162,5.89,54.79,1957.0
Dhaka,Gazipur,2014-07-01,88.25,101.27,22.22,27.14,66.2,15.45,2.53,8.67,51.9,4.02,3.33,4.23,168,Unhealthy,17.9,89.5,0.171,5.7,56.53,1943.4
Dhaka,Gazipur,2014-08-01,72.05,122.05,35.29,58.5,56.58,19.84,1.9,27.76,59.88,5.79,4.58,2.29,160,Unhealthy,9.9,93.3,0.131,6.08,55.1,1946.8
Dhaka,Gazipur,2014-09-01,79.33,239.09,40.78,44.55,63.25,19.89,2.25,19.46,61.15,1.57,8.74,3.31,163,Unhealthy,11.1,91.5,0.114,7.12,55.2,1940.5
Dhaka,Gazipur,2014-10-01,104.15,314.95,64.55,76.05,59.0,15.98,2.69,44.6,95.11,5.6,13.9,5.35,176,Unhealthy,6.4,87.5,0.107,4.18,52.66,1956.5
Dhaka,Gazipur,2014-11-01,469.76,539.86,49.81,115.18,81.96,51.17,10.69,57.43,101.23,9.49,13.4,4.2,476,Hazardous,3.2,79.6,0.127,7.01,55.04,1946.8
Dhaka,Gazipur,2014-12-01,259.08,758.53,104.18,136.3,197.71,56.29,12.63,100.0,154.14,6.72,46.49,2.16,308,Hazardous,3.2,69.2,0.12,4.84,53.52,1948.6
Dhaka,Gazipur,2015-01-01,497.27,964.88,61.49,146.74,200.0,31.89,6.41,94.89,107.28,10.17,20.54,13.06,498,Hazardous,0.8,67.5,0.131,4.78,56.42,1971.7
Dhaka,Gazipur,2015-02-01,415.96,583.27,98.46,176.15,130.08,67.09,6.86,100.0,153.26,6.35,15.3,2.01,433,Hazardous,3.5,67.4,0.186,3.02,56.69,1970.2
Dhaka,Gazipur,2015-03-01,195.69,331.43,63.47,111.1,130.47,68.98,10.6,34.12,110.1,11.99,12.5,4.7,246,Very Unhealthy,7.2,53.0,0.113,4.98,59.34,1964.5
Dhaka,Gazipur,2015-04-01,156.73,548.63,67.72,105.89,84.3,52.01,5.52,75.54,121.69,8.66,11.95,6.43,207,Very Unhealthy,13.8,70.9,0.185,4.53,58.39,1957.7
Dhaka,Gazipur,2015-05-01,117.76,298.96,28.77,84.28,107.16,22.95,2.77,48.23,58.54,5.26,20.12,1.01,183,Unhealthy,8.2,69.9,0.124,6.03,57.18,1968.0
Dhaka,Gazipur,2015-06-01,51.44,109.17,44.15,41.11,62.47,23.52,1.86,34.78,80.13,1.54,18.24,3.97,140,Unhealthy for Sensitive Groups,14.3,86.2,0.103,5.52,60.03,1973.7
Dhaka,Gazipur,2015-07-01,37.94,198.05,20.39,60.63,53.73,14.57,2.3,25.34,53.15,4.91,5.72,1.38,107,Unhealthy for Sensitive Groups,17.9,86.6,0.171,4.31,56.94,1977.1
Dhaka,Gazipur,2015-08-01,107.04,173.51,41.56,48.86,61.24,15.43,1.97,31.51,28.16,5.87,7.87,1.81,178,Unhealthy,12.7,95.5,0.137,5.0,57.86,1973.2
Dhaka,Gazipur,2015-09-01,156.25,116.23,18.96,31.92,45.73,18.89,3.85,11.57,51.23,1.58,14.56,2.14,207,Very Unhealthy,13.7,89.9,0.196,5.99,59.22,1969.5
Dhaka,Gazipur,2015-10-01,176.88,293.51,41.6,98.47,49.97,24.06,2.81,34.45,55.77,3.75,19.54,6.21,227,Very Unhealthy,8.9,89.3,0.188,7.24,56.63,1977.0
Dhaka,Gazipur,2015-11-01,351.59,361.59,37.54,62.9,131.92,32.26,7.51,61.38,75.22,3.62,35.76,8.85,382,Hazardous,4.0,68.2,0.166,8.61,58.38,1979.0
Dhaka,Gazipur,2015-12-01,289.13,631.97,50.36,175.48,162.57,41.78,6.77,56.74,76.05,16.27,29.03,4.59,332,Hazardous,3.7,76.1,0.17,5.35,56.24,1973.0
Dhaka,Gazipur,2016-01-01,242.96,756.31,120.44,122.61,98.98,80.0,14.45,89.52,158.52,15.09,34.78,11.29,293,Very Unhealthy,4.7,71.1,0.1,4.68,60.93,1996.4
Dhaka,Gazipur,2016-02-01,299.84,907.52,101.49,102.28,173.95,44.71,12.13,100.0,95.16,14.15,26.73,5.36,340,Hazardous,4.5,50.6,0.163,7.96,59.67,1998.4
Dhaka,Gazipur,2016-03-01,370.11,659.93,54.96,131.12,168.82,66.3,9.58,50.47,65.73,7.23,33.82,4.6,396,Hazardous,3.6,49.9,0.188,7.22,62.88,1999.6
Dhaka,Gazipur,2016-04-01,207.93,612.71,60.88,63.72,67.45,39.87,6.46,65.14,79.61,2.93,28.35,5.01,258,Very Unhealthy,3.4,59.7,0.163,3.81,61.32,1999.2
Dhaka,Gazipur,2016-05-01,128.83,307.9,44.71,57.75,85.97,14.92,5.16,33.31,85.35,5.26,24.47,4.72,189,Unhealthy,13.7,65.7,0.158,7.54,59.42,1994.0
Dhaka,Gazipur,2016-06-01,95.63,203.05,24.48,74.14,46.94,21.86,2.53,20.46,34.73,4.17,12.04,4.36,172,Unhealthy,19.3,84.2,0.124,5.86,59.0,1999.4
Dhaka,Gazipur,2016-07-01,104.29,86.8,14.51,30.17,79.5,18.38,2.32,27.65,43.48,4.69,6.68,4.65,176,Unhealthy,16.2,92.0,0.131,4.71,60.55,1997.1
Dhaka,Gazipur,2016-08-01,99.17,166.34,45.26,32.9,48.79,25.01,3.02,16.23,40.38,4.04,13.9,1.07,174,Unhealthy,13.6,91.6,0.183,6.17,60.57,2000.7
Dhaka,Gazipur,2016-09-01,77.09,203.47,41.12,69.12,83.64,22.03,3.08,32.55,66.46,2.16,9.27,2.08,162,Unhealthy,10.9,86.5,0.131,5.1,61.93,2001.2
Dhaka,Gazipur,2016-10-01,89.86,279.3,43.79,74.95,62.95,28.77,1.8,20.26,100.64,4.03,16.47,7.33,169,Unhealthy,9.2,79.5,0.169,5.53,60.41,1988.0
Dhaka,Gazipur,2016-11-01,400.75,659.71,33.96,134.03,106.65,31.96,10.31,71.53,142.55,9.71,18.68,10.84,421,Hazardous,2.9,66.1,0.161,6.75,60.02,1998.7
Dhaka,Gazipur,2016-12-01,379.38,780.22,64.41,86.67,178.03,37.58,13.8,100.0,169.47,17.58,30.99,7.08,404,Hazardous,5.3,71.5,0.157,5.42,60.47,2004.9
Dhaka,Gazipur,2017-01-01,207.2,677.52,48.34,147.31,200.0,48.97,12.17,53.58,115.31,14.63,18.61,8.7,257,Very Unhealthy,6.8,61.3,0.121,6.42,64.12,2022.5
Dhaka,Gazipur,2017-02-01,544.62,482.51,101.28,94.36,200.0,68.23,12.96,99.46,155.33,14.35,9.3,2.1,500,Hazardous,2.8,69.8,0.104,5.72,62.69,2021.5
Dhaka,Gazipur,2017-03-01,431.69,358.44,50.78,67.57,94.05,54.02,6.01,53.9,130.25,8.34,18.01,1.58,446,Hazardous,4.4,65.5,0.143,7.69,61.92,2022.8
Dhaka,Gazipur,2017-04-01,378.59,661.59,56.77,111.91,142.03,50.94,5.48,95.38,126.83,5.49,19.63,2.26,403,Hazardous,11.4,73.9,0.24,6.91,63.29,2019.3
Dhaka,Gazipur,2017-05-01,182.11,220.55,44.24,79.24,77.02,46.23,5.73,43.57,100.65,1.97,12.98,5.28,232,Very Unhealthy,8.8,71.1,0.157,7.27,64.04,2016.3
Dhaka,Gazipur,2017-06-01,63.03,137.54,37.64,36.51,80.77,18.23,3.57,27.32,41.42,4.07,15.24,4.28,155,Unhealthy,6.5,89.0,0.162,6.8,63.97,2023.9
Dhaka,Gazipur,2017-07-01,98.69,149.81,29.21,53.98,38.63,12.71,3.37,18.73,56.43,5.07,6.25,4.31,173,Unhealthy,11.3,92.6,0.16,6.64,63.18,2014.7
Dhaka,Gazipur,2017-08-01,130.98,152.28,30.51,37.82,29.85,24.4,3.44,31.66,54.02,5.63,4.59,1.03,190,Unhealthy,9.1,97.9,0.158,5.25,62.14,2023.1
Dhaka,Gazipur,2017-09-01,130.0,189.59,37.81,66.74,33.58,23.88,2.48,39.8,78.67,1.59,20.82,0.66,189,Unhealthy,1.3,85.5,0.193,7.18,63.14,2024.0
Dhaka,Gazipur,2017-10-01,81.61,345.06,57.27,64.31,77.94,42.46,3.65,20.59,70.15,2.65,5.67,1.81,164,Unhealthy,4.4,80.3,0.145,5.13,63.82,2036.5
Dhaka,Gazipur,2017-11-01,543.03,918.42,90.14,122.76,143.37,53.89,7.04,100.0,110.79,3.23,12.33,9.44,500,Hazardous,6.1,67.1,0.213,5.75,62.42,2021.2
Dhaka,Gazipur,2017-12-01,453.47,682.24,114.76,114.79,200.0,72.5,13.61,100.0,130.82,16.18,43.27,8.95,463,Hazardous,5.9,71.7,0.107,5.82,63.38,2029.8
Dhaka,Gazipur,2018-01-01,449.03,706.26,94.11,149.46,200.0,80.0,4.35,97.17,200.0,13.52,52.14,8.42,459,Hazardous,4.9,58.5,0.138,6.26,66.1,2045.4
Dhaka,Gazipur,2018-02-01,460.89,573.69,85.34,103.56,200.0,52.62,4.98,67.31,90.71,10.25,46.52,11.39,469,Hazardous,2.6,60.5,0.17,5.38,65.34,2028.1
